
========== Fold 1/10 ==========
Fold 01 | Epoch 01/50 | Train: 0.063204 | Val: 0.055312
Fold 01 | Epoch 02/50 | Train: 0.051532 | Val: 0.047265
Fold 01 | Epoch 03/50 | Train: 0.040744 | Val: 0.035175
Fold 01 | Epoch 04/50 | Train: 0.032750 | Val: 0.030883
Fold 01 | Epoch 05/50 | Train: 0.028980 | Val: 0.027044
Fold 01 | Epoch 06/50 | Train: 0.025565 | Val: 0.024492
Fold 01 | Epoch 07/50 | Train: 0.023198 | Val: 0.022400
Fold 01 | Epoch 08/50 | Train: 0.021434 | Val: 0.020898
Fold 01 | Epoch 09/50 | Train: 0.020029 | Val: 0.019431
Fold 01 | Epoch 10/50 | Train: 0.018589 | Val: 0.018317
Fold 01 | Epoch 11/50 | Train: 0.017556 | Val: 0.017411
Fold 01 | Epoch 12/50 | Train: 0.016761 | Val: 0.016828
Fold 01 | Epoch 13/50 | Train: 0.016078 | Val: 0.016133
Fold 01 | Epoch 14/50 | Train: 0.015340 | Val: 0.015330
Fold 01 | Epoch 15/50 | Train: 0.014542 | Val: 0.014609
Fold 01 | Epoch 16/50 | Train: 0.013780 | Val: 0.013817
Fold 01 | Epoch 17/50 | Train: 0.013174 | Val: 0.013312
Fold 01 | Epoch 18/50 | Train: 0.012641 | Val: 0.012731
Fold 01 | Epoch 19/50 | Train: 0.012162 | Val: 0.012384
Fold 01 | Epoch 20/50 | Train: 0.011739 | Val: 0.012058
Fold 01 | Epoch 21/50 | Train: 0.011370 | Val: 0.011644
Fold 01 | Epoch 22/50 | Train: 0.011029 | Val: 0.011318
Fold 01 | Epoch 23/50 | Train: 0.010664 | Val: 0.011016
Fold 01 | Epoch 24/50 | Train: 0.010324 | Val: 0.010682
Fold 01 | Epoch 25/50 | Train: 0.010024 | Val: 0.010384
Fold 01 | Epoch 26/50 | Train: 0.009754 | Val: 0.010067
Fold 01 | Epoch 27/50 | Train: 0.009505 | Val: 0.010145
Fold 01 | Epoch 28/50 | Train: 0.009246 | Val: 0.009642
Fold 01 | Epoch 29/50 | Train: 0.008997 | Val: 0.009494
Fold 01 | Epoch 30/50 | Train: 0.008782 | Val: 0.009252
Fold 01 | Epoch 31/50 | Train: 0.008594 | Val: 0.008988
Fold 01 | Epoch 32/50 | Train: 0.008384 | Val: 0.008970
Fold 01 | Epoch 33/50 | Train: 0.008235 | Val: 0.008675
Fold 01 | Epoch 34/50 | Train: 0.008085 | Val: 0.008571
Fold 01 | Epoch 35/50 | Train: 0.007909 | Val: 0.008447
Fold 01 | Epoch 36/50 | Train: 0.007773 | Val: 0.008327
Fold 01 | Epoch 37/50 | Train: 0.007622 | Val: 0.008179
Fold 01 | Epoch 38/50 | Train: 0.007483 | Val: 0.008145
Fold 01 | Epoch 39/50 | Train: 0.007359 | Val: 0.007838
Fold 01 | Epoch 40/50 | Train: 0.007247 | Val: 0.007818
Fold 01 | Epoch 41/50 | Train: 0.007132 | Val: 0.007693
Fold 01 | Epoch 42/50 | Train: 0.007038 | Val: 0.007617
Fold 01 | Epoch 43/50 | Train: 0.006921 | Val: 0.007512
Fold 01 | Epoch 44/50 | Train: 0.006832 | Val: 0.007384
Fold 01 | Epoch 45/50 | Train: 0.006730 | Val: 0.007257
Fold 01 | Epoch 46/50 | Train: 0.006629 | Val: 0.007199
Fold 01 | Epoch 47/50 | Train: 0.006542 | Val: 0.007136
Fold 01 | Epoch 48/50 | Train: 0.006444 | Val: 0.007135
Fold 01 | Epoch 49/50 | Train: 0.006375 | Val: 0.007034
Fold 01 | Epoch 50/50 | Train: 0.006298 | Val: 0.006887

========== Fold 2/10 ==========
Fold 02 | Epoch 01/50 | Train: 0.063640 | Val: 0.055766
Fold 02 | Epoch 02/50 | Train: 0.051431 | Val: 0.046909
Fold 02 | Epoch 03/50 | Train: 0.042159 | Val: 0.036162
Fold 02 | Epoch 04/50 | Train: 0.033046 | Val: 0.030980
Fold 02 | Epoch 05/50 | Train: 0.029228 | Val: 0.027239
Fold 02 | Epoch 06/50 | Train: 0.025870 | Val: 0.024782
Fold 02 | Epoch 07/50 | Train: 0.023886 | Val: 0.023367
Fold 02 | Epoch 08/50 | Train: 0.022503 | Val: 0.022135
Fold 02 | Epoch 09/50 | Train: 0.021144 | Val: 0.020830
Fold 02 | Epoch 10/50 | Train: 0.019853 | Val: 0.019510
Fold 02 | Epoch 11/50 | Train: 0.018504 | Val: 0.018154
Fold 02 | Epoch 12/50 | Train: 0.017340 | Val: 0.017014
Fold 02 | Epoch 13/50 | Train: 0.016379 | Val: 0.016395
Fold 02 | Epoch 14/50 | Train: 0.015623 | Val: 0.015592
Fold 02 | Epoch 15/50 | Train: 0.014974 | Val: 0.015073
Fold 02 | Epoch 16/50 | Train: 0.014350 | Val: 0.014603
Fold 02 | Epoch 17/50 | Train: 0.013740 | Val: 0.013783
Fold 02 | Epoch 18/50 | Train: 0.013204 | Val: 0.013259
Fold 02 | Epoch 19/50 | Train: 0.012659 | Val: 0.012863
Fold 02 | Epoch 20/50 | Train: 0.012182 | Val: 0.012396
Fold 02 | Epoch 21/50 | Train: 0.011774 | Val: 0.011980
Fold 02 | Epoch 22/50 | Train: 0.011385 | Val: 0.011584
Fold 02 | Epoch 23/50 | Train: 0.010975 | Val: 0.011264
Fold 02 | Epoch 24/50 | Train: 0.010646 | Val: 0.010857
Fold 02 | Epoch 25/50 | Train: 0.010282 | Val: 0.010651
Fold 02 | Epoch 26/50 | Train: 0.009995 | Val: 0.010303
Fold 02 | Epoch 27/50 | Train: 0.009722 | Val: 0.010198
Fold 02 | Epoch 28/50 | Train: 0.009482 | Val: 0.009864
Fold 02 | Epoch 29/50 | Train: 0.009248 | Val: 0.009766
Fold 02 | Epoch 30/50 | Train: 0.009025 | Val: 0.009571
Fold 02 | Epoch 31/50 | Train: 0.008793 | Val: 0.009228
Fold 02 | Epoch 32/50 | Train: 0.008603 | Val: 0.009294
Fold 02 | Epoch 33/50 | Train: 0.008413 | Val: 0.008945
Fold 02 | Epoch 34/50 | Train: 0.008237 | Val: 0.008838
Fold 02 | Epoch 35/50 | Train: 0.008072 | Val: 0.008544
Fold 02 | Epoch 36/50 | Train: 0.007940 | Val: 0.008529
Fold 02 | Epoch 37/50 | Train: 0.007791 | Val: 0.008243
Fold 02 | Epoch 38/50 | Train: 0.007647 | Val: 0.008189
Fold 02 | Epoch 39/50 | Train: 0.007538 | Val: 0.008076
Fold 02 | Epoch 40/50 | Train: 0.007422 | Val: 0.008121
Fold 02 | Epoch 41/50 | Train: 0.007310 | Val: 0.007865
Fold 02 | Epoch 42/50 | Train: 0.007213 | Val: 0.007761
Fold 02 | Epoch 43/50 | Train: 0.007105 | Val: 0.007677
Fold 02 | Epoch 44/50 | Train: 0.007025 | Val: 0.007584
Fold 02 | Epoch 45/50 | Train: 0.006942 | Val: 0.007586
Fold 02 | Epoch 46/50 | Train: 0.006838 | Val: 0.007472
Fold 02 | Epoch 47/50 | Train: 0.006768 | Val: 0.007351
Fold 02 | Epoch 48/50 | Train: 0.006664 | Val: 0.007202
Fold 02 | Epoch 49/50 | Train: 0.006593 | Val: 0.007142
Fold 02 | Epoch 50/50 | Train: 0.006506 | Val: 0.007034

========== Fold 3/10 ==========
Fold 03 | Epoch 01/50 | Train: 0.063864 | Val: 0.056397
Fold 03 | Epoch 02/50 | Train: 0.051747 | Val: 0.047606
Fold 03 | Epoch 03/50 | Train: 0.042447 | Val: 0.036717
Fold 03 | Epoch 04/50 | Train: 0.033513 | Val: 0.031077
Fold 03 | Epoch 05/50 | Train: 0.029202 | Val: 0.027938
Fold 03 | Epoch 06/50 | Train: 0.026051 | Val: 0.024801
Fold 03 | Epoch 07/50 | Train: 0.023559 | Val: 0.022977
Fold 03 | Epoch 08/50 | Train: 0.021850 | Val: 0.021464
Fold 03 | Epoch 09/50 | Train: 0.020296 | Val: 0.019927
Fold 03 | Epoch 10/50 | Train: 0.018776 | Val: 0.018540
Fold 03 | Epoch 11/50 | Train: 0.017625 | Val: 0.017425
Fold 03 | Epoch 12/50 | Train: 0.016633 | Val: 0.016636
Fold 03 | Epoch 13/50 | Train: 0.015740 | Val: 0.015774
Fold 03 | Epoch 14/50 | Train: 0.014968 | Val: 0.014975
Fold 03 | Epoch 15/50 | Train: 0.014233 | Val: 0.014225
Fold 03 | Epoch 16/50 | Train: 0.013647 | Val: 0.013982
Fold 03 | Epoch 17/50 | Train: 0.013147 | Val: 0.013350
Fold 03 | Epoch 18/50 | Train: 0.012731 | Val: 0.012958
Fold 03 | Epoch 19/50 | Train: 0.012355 | Val: 0.012587
Fold 03 | Epoch 20/50 | Train: 0.011964 | Val: 0.012246
Fold 03 | Epoch 21/50 | Train: 0.011615 | Val: 0.011923
Fold 03 | Epoch 22/50 | Train: 0.011312 | Val: 0.011759
Fold 03 | Epoch 23/50 | Train: 0.011015 | Val: 0.011413
Fold 03 | Epoch 24/50 | Train: 0.010714 | Val: 0.011070
Fold 03 | Epoch 25/50 | Train: 0.010396 | Val: 0.010751
Fold 03 | Epoch 26/50 | Train: 0.010102 | Val: 0.010506
Fold 03 | Epoch 27/50 | Train: 0.009848 | Val: 0.010297
Fold 03 | Epoch 28/50 | Train: 0.009627 | Val: 0.010270
Fold 03 | Epoch 29/50 | Train: 0.009386 | Val: 0.010138
Fold 03 | Epoch 30/50 | Train: 0.009168 | Val: 0.009804
Fold 03 | Epoch 31/50 | Train: 0.008969 | Val: 0.009375
Fold 03 | Epoch 32/50 | Train: 0.008771 | Val: 0.009304
Fold 03 | Epoch 33/50 | Train: 0.008580 | Val: 0.009119
Fold 03 | Epoch 34/50 | Train: 0.008403 | Val: 0.009050
