
========== Fold 1/10 ==========
Fold 01 | Epoch 01/50 | Train: 0.063279 | Val: 0.055508
Fold 01 | Epoch 02/50 | Train: 0.052018 | Val: 0.047754
Fold 01 | Epoch 03/50 | Train: 0.042869 | Val: 0.036618
Fold 01 | Epoch 04/50 | Train: 0.033837 | Val: 0.031922
Fold 01 | Epoch 05/50 | Train: 0.030460 | Val: 0.029263
Fold 01 | Epoch 06/50 | Train: 0.027523 | Val: 0.025972
Fold 01 | Epoch 07/50 | Train: 0.024806 | Val: 0.024073
Fold 01 | Epoch 08/50 | Train: 0.023162 | Val: 0.022642
Fold 01 | Epoch 09/50 | Train: 0.021604 | Val: 0.021073
Fold 01 | Epoch 10/50 | Train: 0.020148 | Val: 0.019683
Fold 01 | Epoch 11/50 | Train: 0.018783 | Val: 0.018457
Fold 01 | Epoch 12/50 | Train: 0.017634 | Val: 0.017438
Fold 01 | Epoch 13/50 | Train: 0.016819 | Val: 0.016830
Fold 01 | Epoch 14/50 | Train: 0.016057 | Val: 0.015953
Fold 01 | Epoch 15/50 | Train: 0.015301 | Val: 0.015561
Fold 01 | Epoch 16/50 | Train: 0.014725 | Val: 0.014896
Fold 01 | Epoch 17/50 | Train: 0.014252 | Val: 0.014484
Fold 01 | Epoch 18/50 | Train: 0.013827 | Val: 0.014005
Fold 01 | Epoch 19/50 | Train: 0.013335 | Val: 0.013397
Fold 01 | Epoch 20/50 | Train: 0.012802 | Val: 0.013062
Fold 01 | Epoch 21/50 | Train: 0.012270 | Val: 0.012614
Fold 01 | Epoch 22/50 | Train: 0.011853 | Val: 0.012132
Fold 01 | Epoch 23/50 | Train: 0.011466 | Val: 0.011842
Fold 01 | Epoch 24/50 | Train: 0.011152 | Val: 0.011544
Fold 01 | Epoch 25/50 | Train: 0.010803 | Val: 0.011180
Fold 01 | Epoch 26/50 | Train: 0.010507 | Val: 0.010876
Fold 01 | Epoch 27/50 | Train: 0.010234 | Val: 0.010678
Fold 01 | Epoch 28/50 | Train: 0.009996 | Val: 0.010430
Fold 01 | Epoch 29/50 | Train: 0.009775 | Val: 0.010360
Fold 01 | Epoch 30/50 | Train: 0.009590 | Val: 0.010063
Fold 01 | Epoch 31/50 | Train: 0.009410 | Val: 0.010051
Fold 01 | Epoch 32/50 | Train: 0.009232 | Val: 0.009767
Fold 01 | Epoch 33/50 | Train: 0.009047 | Val: 0.009775
Fold 01 | Epoch 34/50 | Train: 0.008865 | Val: 0.009382
Fold 01 | Epoch 35/50 | Train: 0.008661 | Val: 0.009209
Fold 01 | Epoch 36/50 | Train: 0.008520 | Val: 0.009051
Fold 01 | Epoch 37/50 | Train: 0.008351 | Val: 0.008872
Fold 01 | Epoch 38/50 | Train: 0.008209 | Val: 0.008710
Fold 01 | Epoch 39/50 | Train: 0.008061 | Val: 0.008912
Fold 01 | Epoch 40/50 | Train: 0.007918 | Val: 0.008508
Fold 01 | Epoch 41/50 | Train: 0.007792 | Val: 0.008327
Fold 01 | Epoch 42/50 | Train: 0.007662 | Val: 0.008301
Fold 01 | Epoch 43/50 | Train: 0.007555 | Val: 0.008091
Fold 01 | Epoch 44/50 | Train: 0.007458 | Val: 0.008068
Fold 01 | Epoch 45/50 | Train: 0.007364 | Val: 0.008039
Fold 01 | Epoch 46/50 | Train: 0.007258 | Val: 0.007827
Fold 01 | Epoch 47/50 | Train: 0.007177 | Val: 0.007772
Fold 01 | Epoch 48/50 | Train: 0.007083 | Val: 0.007774
Fold 01 | Epoch 49/50 | Train: 0.006999 | Val: 0.007657
Fold 01 | Epoch 50/50 | Train: 0.006931 | Val: 0.007615

========== Fold 2/10 ==========
Fold 02 | Epoch 01/50 | Train: 0.063549 | Val: 0.055939
Fold 02 | Epoch 02/50 | Train: 0.051679 | Val: 0.047222
Fold 02 | Epoch 03/50 | Train: 0.043918 | Val: 0.038922
Fold 02 | Epoch 04/50 | Train: 0.035032 | Val: 0.032320
Fold 02 | Epoch 05/50 | Train: 0.030750 | Val: 0.029590
Fold 02 | Epoch 06/50 | Train: 0.028037 | Val: 0.027026
Fold 02 | Epoch 07/50 | Train: 0.025826 | Val: 0.024907
Fold 02 | Epoch 08/50 | Train: 0.023891 | Val: 0.023384
Fold 02 | Epoch 09/50 | Train: 0.022549 | Val: 0.022256
Fold 02 | Epoch 10/50 | Train: 0.021467 | Val: 0.021310
Fold 02 | Epoch 11/50 | Train: 0.020499 | Val: 0.020353
Fold 02 | Epoch 12/50 | Train: 0.019650 | Val: 0.019445
Fold 02 | Epoch 13/50 | Train: 0.018580 | Val: 0.018478
Fold 02 | Epoch 14/50 | Train: 0.017733 | Val: 0.017770
Fold 02 | Epoch 15/50 | Train: 0.016988 | Val: 0.017106
Fold 02 | Epoch 16/50 | Train: 0.016264 | Val: 0.016248
Fold 02 | Epoch 17/50 | Train: 0.015492 | Val: 0.015654
Fold 02 | Epoch 18/50 | Train: 0.014910 | Val: 0.015145
Fold 02 | Epoch 19/50 | Train: 0.014461 | Val: 0.014847
Fold 02 | Epoch 20/50 | Train: 0.014063 | Val: 0.014430
Fold 02 | Epoch 21/50 | Train: 0.013731 | Val: 0.014133
Fold 02 | Epoch 22/50 | Train: 0.013379 | Val: 0.013796
Fold 02 | Epoch 23/50 | Train: 0.013035 | Val: 0.013464
Fold 02 | Epoch 24/50 | Train: 0.012685 | Val: 0.013156
Fold 02 | Epoch 25/50 | Train: 0.012306 | Val: 0.012631
Fold 02 | Epoch 26/50 | Train: 0.011905 | Val: 0.012260
Fold 02 | Epoch 27/50 | Train: 0.011523 | Val: 0.011960
Fold 02 | Epoch 28/50 | Train: 0.011212 | Val: 0.011559
Fold 02 | Epoch 29/50 | Train: 0.010927 | Val: 0.011341
Fold 02 | Epoch 30/50 | Train: 0.010657 | Val: 0.011203
Fold 02 | Epoch 31/50 | Train: 0.010427 | Val: 0.010960
Fold 02 | Epoch 32/50 | Train: 0.010229 | Val: 0.010838
Fold 02 | Epoch 33/50 | Train: 0.010026 | Val: 0.010664
Fold 02 | Epoch 34/50 | Train: 0.009861 | Val: 0.010503
Fold 02 | Epoch 35/50 | Train: 0.009667 | Val: 0.010431
Fold 02 | Epoch 36/50 | Train: 0.009514 | Val: 0.010099
